customer_id,acquisition_date,start_of_period_date,end_of_period_date,start_of_period_status,end_of_period_status,churn_date
1,5/22/2024,3/1/2025,3/31/2025,Active,Active,
2,7/18/2023,3/1/2025,3/31/2025,Active,Active,
3,8/31/2023,3/1/2025,3/31/2025,Active,Active,
4,1/16/2024,3/1/2025,3/31/2025,Active,Active,
5,4/4/2023,3/1/2025,3/31/2025,Active,Active,
6,2/18/2023,3/1/2025,3/31/2025,Active,Active,
7,6/6/2024,3/1/2025,3/31/2025,Active,Churned,3/9/2025
8,1/24/2024,3/1/2025,3/31/2025,Active,Active,
9,8/8/2024,3/1/2025,3/31/2025,Active,Active,
10,9/21/2023,3/1/2025,3/31/2025,Active,Active,
11,6/16/2023,3/1/2025,3/31/2025,Active,Active,
12,1/18/2023,3/1/2025,3/31/2025,Active,Active,
13,5/24/2024,3/1/2025,3/31/2025,Active,Active,
14,2/8/2023,3/1/2025,3/31/2025,Active,Active,
15,12/3/2023,3/1/2025,3/31/2025,Active,Active,
16,6/2/2023,3/1/2025,3/31/2025,Active,Active,
17,6/20/2024,3/1/2025,3/31/2025,Active,Active,
18,6/12/2024,3/1/2025,3/31/2025,Active,Churned,3/10/2025
19,12/15/2023,3/1/2025,3/31/2025,Active,Active,
20,8/2/2023,3/1/2025,3/31/2025,Active,Active,
21,9/26/2023,3/1/2025,3/31/2025,Active,Churned,3/15/2025
22,9/30/2023,3/1/2025,3/31/2025,Active,Churned,3/26/2025
23,2/9/2024,3/1/2025,3/31/2025,Active,Churned,3/18/2025
24,10/12/2024,3/1/2025,3/31/2025,Active,Active,
25,12/5/2023,3/1/2025,3/31/2025,Active,Active,
26,9/18/2024,3/1/2025,3/31/2025,Active,Active,
27,6/12/2024,3/1/2025,3/31/2025,Active,Active,
28,3/25/2023,3/1/2025,3/31/2025,Active,Active,
29,2/10/2023,3/1/2025,3/31/2025,Active,Active,
30,10/3/2024,3/1/2025,3/31/2025,Active,Active,
31,11/12/2023,3/1/2025,3/31/2025,Active,Active,
32,2/25/2023,3/1/2025,3/31/2025,Active,Active,
33,9/2/2023,3/1/2025,3/31/2025,Active,Active,
34,2/16/2023,3/1/2025,3/31/2025,Active,Active,
35,11/13/2023,3/1/2025,3/31/2025,Active,Active,
36,10/16/2023,3/1/2025,3/31/2025,Active,Active,
37,2/7/2024,3/1/2025,3/31/2025,Active,Active,
38,9/21/2024,3/1/2025,3/31/2025,Active,Active,
39,1/25/2023,3/1/2025,3/31/2025,Active,Active,
40,7/7/2024,3/1/2025,3/31/2025,Active,Active,
41,9/21/2023,3/1/2025,3/31/2025,Active,Active,
42,1/13/2023,3/1/2025,3/31/2025,Active,Active,
43,7/28/2024,3/1/2025,3/31/2025,Active,Active,
44,9/1/2024,3/1/2025,3/31/2025,Active,Active,
45,11/3/2023,3/1/2025,3/31/2025,Active,Active,
46,1/10/2024,3/1/2025,3/31/2025,Active,Active,
47,1/18/2023,3/1/2025,3/31/2025,Active,Active,
48,2/26/2023,3/1/2025,3/31/2025,Active,Active,
49,1/5/2023,3/1/2025,3/31/2025,Active,Active,
50,4/5/2023,3/1/2025,3/31/2025,Active,Active,
51,4/26/2023,3/1/2025,3/31/2025,Active,Active,
52,10/11/2023,3/1/2025,3/31/2025,Active,Active,
53,1/23/2023,3/1/2025,3/31/2025,Active,Active,
54,11/19/2024,3/1/2025,3/31/2025,Active,Churned,3/14/2025
55,7/31/2024,3/1/2025,3/31/2025,Active,Active,
56,9/24/2024,3/1/2025,3/31/2025,Active,Active,
57,2/22/2023,3/1/2025,3/31/2025,Active,Active,
58,3/22/2024,3/1/2025,3/31/2025,Active,Active,
59,8/9/2023,3/1/2025,3/31/2025,Active,Active,
60,3/18/2023,3/1/2025,3/31/2025,Active,Active,
61,7/9/2024,3/1/2025,3/31/2025,Active,Churned,3/3/2025
62,10/12/2024,3/1/2025,3/31/2025,Active,Churned,3/17/2025
63,9/21/2023,3/1/2025,3/31/2025,Active,Churned,3/19/2025
64,2/5/2023,3/1/2025,3/31/2025,Active,Active,
65,4/17/2024,3/1/2025,3/31/2025,Active,Active,
66,2/15/2024,3/1/2025,3/31/2025,Active,Active,
67,6/1/2024,3/1/2025,3/31/2025,Active,Active,
68,5/30/2024,3/1/2025,3/31/2025,Active,Active,
69,1/22/2023,3/1/2025,3/31/2025,Active,Active,
70,2/28/2023,3/1/2025,3/31/2025,Active,Active,
71,1/23/2024,3/1/2025,3/31/2025,Active,Active,
72,11/8/2024,3/1/2025,3/31/2025,Active,Active,
73,7/26/2024,3/1/2025,3/31/2025,Active,Active,
74,1/22/2024,3/1/2025,3/31/2025,Active,Active,
75,1/12/2023,3/1/2025,3/31/2025,Active,Active,
76,1/14/2023,3/1/2025,3/31/2025,Active,Active,
77,1/21/2024,3/1/2025,3/31/2025,Active,Active,
78,10/9/2023,3/1/2025,3/31/2025,Active,Active,
79,12/28/2024,3/1/2025,3/31/2025,Active,Active,
80,8/19/2024,3/1/2025,3/31/2025,Active,Churned,3/31/2025
81,12/5/2024,3/1/2025,3/31/2025,Active,Active,
82,6/5/2024,3/1/2025,3/31/2025,Active,Active,
83,8/1/2023,3/1/2025,3/31/2025,Active,Active,
84,7/10/2023,3/1/2025,3/31/2025,Active,Active,
85,10/22/2023,3/1/2025,3/31/2025,Active,Active,
86,3/5/2023,3/1/2025,3/31/2025,Active,Active,
87,8/3/2023,3/1/2025,3/31/2025,Active,Active,
88,7/21/2023,3/1/2025,3/31/2025,Active,Active,
89,1/30/2024,3/1/2025,3/31/2025,Active,Churned,3/11/2025
90,8/10/2023,3/1/2025,3/31/2025,Active,Active,
91,7/20/2023,3/1/2025,3/31/2025,Active,Churned,3/23/2025
92,6/25/2024,3/1/2025,3/31/2025,Active,Active,
93,3/19/2023,3/1/2025,3/31/2025,Active,Churned,3/18/2025
94,6/9/2023,3/1/2025,3/31/2025,Active,Active,
95,10/3/2024,3/1/2025,3/31/2025,Active,Active,
