customer_id,start_date,end_date,start_of_period_mrr,end_of_period_mrr,retention_status,revenue_lost_churn_downgrade
1,1/1/2024,2/1/2024,2090,2090,Retained,0
2,1/1/2024,2/1/2024,2555,2555,Retained,0
3,1/1/2024,2/1/2024,3904,3904,Retained,0
4,1/1/2024,2/1/2024,2817,2817,Retained,0
5,1/1/2024,2/1/2024,1769,1769,Retained,0
6,1/1/2024,2/1/2024,3142,3142,Retained,0
7,1/1/2024,2/1/2024,3064,3064,Retained,0
8,1/1/2024,2/1/2024,4900,4900,Retained,0
9,1/1/2024,2/1/2024,4745,4745,Retained,0
10,1/1/2024,2/1/2024,2256,1827.36,Downgrade,947.52
11,1/1/2024,2/1/2024,2085,0,Churn,2085
12,1/1/2024,2/1/2024,3517,3517,Retained,0
13,1/1/2024,2/1/2024,1279,690.66,Downgrade,562.76
14,1/1/2024,2/1/2024,3309,3309,Retained,0
15,1/1/2024,2/1/2024,507,507,Retained,0
16,1/1/2024,2/1/2024,1704,1704,Retained,0
17,1/1/2024,2/1/2024,3076,3076,Retained,0
18,1/1/2024,2/1/2024,2145,2145,Retained,0
19,1/1/2024,2/1/2024,1132,1132,Retained,0
20,1/1/2024,2/1/2024,4540,4540,Retained,0
21,1/1/2024,2/1/2024,776,776,Retained,0
22,1/1/2024,2/1/2024,4079,2610.56,Downgrade,734.22
23,1/1/2024,2/1/2024,897,897,Retained,0
24,1/1/2024,2/1/2024,2897,2897,Retained,0
25,1/1/2024,2/1/2024,3108,3108,Retained,0
26,1/1/2024,2/1/2024,4230,4230,Retained,0
27,1/1/2024,2/1/2024,1856,1856,Retained,0
28,1/1/2024,2/1/2024,4247,4247,Retained,0
29,1/1/2024,2/1/2024,3394,3394,Retained,0
30,1/1/2024,2/1/2024,1921,1921,Retained,0
31,1/1/2024,2/1/2024,1021,1021,Retained,0
32,1/1/2024,2/1/2024,586,369.18,Downgrade,240.26
33,1/1/2024,2/1/2024,2382,2382,Retained,0
34,1/1/2024,2/1/2024,3418,3418,Retained,0
35,1/1/2024,2/1/2024,3664,0,Churn,3664
36,1/1/2024,2/1/2024,503,0,Churn,503
37,1/1/2024,2/1/2024,2809,0,Churn,2809
38,1/1/2024,2/1/2024,523,523,Retained,0
39,1/1/2024,2/1/2024,3662,3662,Retained,0
40,1/1/2024,2/1/2024,1288,1288,Retained,0
41,1/1/2024,2/1/2024,4677,4677,Retained,0
42,1/1/2024,2/1/2024,2859,2859,Retained,0
43,1/1/2024,2/1/2024,3164,3164,Retained,0
44,1/1/2024,2/1/2024,2619,2304.72,Downgrade,680.94
45,1/1/2024,2/1/2024,2433,2433,Retained,0
46,1/1/2024,2/1/2024,3960,3960,Retained,0
47,1/1/2024,2/1/2024,2818,2818,Retained,0
48,1/1/2024,2/1/2024,656,656,Retained,0
49,1/1/2024,2/1/2024,4879,4879,Retained,0
50,1/1/2024,2/1/2024,1016,1016,Retained,0
51,1/1/2024,2/1/2024,2309,2309,Retained,0
52,1/1/2024,2/1/2024,4520,4520,Retained,0
53,1/1/2024,2/1/2024,4933,4933,Retained,0
54,1/1/2024,2/1/2024,3174,3174,Retained,0
55,1/1/2024,2/1/2024,1640,1640,Retained,0
56,1/1/2024,2/1/2024,1690,1690,Retained,0
57,1/1/2024,2/1/2024,3587,3587,Retained,0
58,1/1/2024,2/1/2024,603,603,Retained,0
59,1/1/2024,2/1/2024,3761,3761,Retained,0
