customer_id,acquisition_date,subscription_date,termination_date
1,9/16/2023,2/8/2023,
2,11/28/2023,12/2/2023,
3,11/26/2023,1/28/2023,7/22/2024
4,2/6/2023,11/17/2023,
5,1/23/2023,2/17/2023,
6,7/9/2023,7/31/2023,
7,3/17/2023,4/2/2023,11/19/2024
8,11/29/2023,5/2/2023,
9,9/26/2023,3/27/2023,
10,2/7/2023,9/28/2023,10/25/2023
11,7/19/2023,1/14/2024,
12,6/7/2023,5/22/2023,
13,3/17/2023,2/6/2023,9/2/2024
14,3/27/2023,12/9/2023,
15,3/9/2023,9/11/2023,
16,11/24/2023,12/30/2023,7/9/2024
17,12/12/2023,2/5/2023,
18,11/15/2023,5/1/2023,
19,2/17/2023,9/20/2023,
20,3/13/2023,9/28/2023,
21,12/3/2023,12/3/2023,8/13/2024
22,1/28/2023,10/5/2023,
23,7/31/2023,12/3/2023,
24,12/2/2023,8/11/2023,
25,10/7/2023,7/25/2023,
26,6/11/2023,6/22/2023,
27,12/21/2023,2/28/2023,
28,11/3/2023,7/30/2023,
29,4/1/2023,9/12/2023,4/17/2024
30,3/9/2023,4/4/2023,
31,1/13/2023,8/19/2023,8/9/2024
32,3/24/2023,12/24/2023,
33,2/19/2023,1/12/2024,
34,9/28/2023,11/12/2023,
35,5/25/2023,2/24/2023,
36,11/21/2023,10/26/2023,
37,6/3/2023,10/26/2023,4/8/2024
38,12/30/2023,11/14/2023,7/31/2023
39,2/14/2023,8/21/2023,12/23/2023
40,3/9/2023,4/18/2023,2/11/2024
41,6/21/2023,7/27/2023,
42,7/4/2023,2/18/2023,
43,8/27/2023,5/18/2023,
44,3/6/2023,12/28/2023,
45,8/15/2023,6/27/2023,
46,11/13/2023,10/29/2023,4/2/2024
47,10/17/2023,1/19/2024,9/30/2024
48,7/7/2023,7/3/2023,
49,9/16/2023,5/21/2023,
50,2/8/2023,11/22/2023,
51,1/26/2023,10/7/2023,11/6/2023
52,1/1/2023,9/8/2023,
53,3/3/2023,5/20/2023,
54,3/15/2023,2/7/2023,
55,11/22/2023,5/26/2023,7/27/2023
56,11/23/2023,11/24/2023,
57,3/7/2023,9/22/2023,
58,6/21/2023,10/16/2023,
59,4/10/2023,1/13/2023,
60,8/26/2023,5/25/2023,5/21/2024
61,10/26/2023,2/14/2023,10/15/2023
62,6/30/2023,8/1/2023,10/15/2023
63,10/7/2023,5/12/2023,
64,7/14/2023,4/5/2023,
65,12/8/2023,11/23/2023,1/24/2024
66,8/17/2023,6/4/2023,12/7/2023
67,7/30/2023,8/27/2023,
68,11/3/2023,3/1/2023,
69,10/28/2023,5/28/2023,
70,7/29/2023,5/13/2023,12/11/2024
71,7/25/2023,8/21/2023,
72,2/15/2023,12/3/2023,
73,4/1/2023,4/17/2023,
74,3/26/2023,4/2/2023,8/29/2023
75,6/10/2023,5/16/2023,
76,3/9/2023,2/20/2023,
77,5/15/2023,7/5/2023,6/1/2023
78,1/1/2023,9/4/2023,
79,9/13/2023,9/11/2023,
80,7/16/2023,5/17/2023,6/26/2024
81,4/26/2023,5/10/2023,
82,4/11/2023,9/24/2023,12/17/2023
83,7/23/2023,2/28/2023,5/24/2024
84,4/21/2023,5/26/2023,
85,5/23/2023,8/30/2023,12/23/2023
86,12/30/2023,3/30/2023,
87,5/13/2023,1/4/2024,1/3/2024
88,8/13/2023,7/20/2023,
89,10/17/2023,10/3/2023,
90,3/10/2023,7/25/2023,
91,12/19/2023,12/20/2023,
92,11/29/2023,10/31/2023,
93,10/26/2023,11/8/2023,
94,6/19/2023,2/18/2023,
95,10/12/2023,11/16/2023,
96,7/7/2023,6/12/2023,7/10/2023
97,10/21/2023,9/5/2023,3/27/2024
98,9/7/2023,10/31/2023,
99,11/1/2023,3/9/2023,
100,12/16/2023,2/26/2023,6/15/2024
101,6/30/2023,7/12/2023,
102,3/13/2023,9/6/2023,
103,3/29/2023,10/20/2023,
104,4/29/2023,3/17/2023,
105,4/2/2023,7/9/2023,
106,7/28/2023,6/2/2023,
107,9/25/2023,7/1/2023,
108,3/5/2023,4/16/2023,1/20/2024
109,4/8/2023,5/3/2023,
110,3/7/2023,11/26/2023,4/19/2024
111,12/5/2023,8/6/2023,4/20/2024
112,9/30/2023,7/22/2023,
113,1/7/2023,9/16/2023,
114,7/2/2023,12/20/2023,
115,2/8/2023,8/31/2023,7/16/2024
116,2/15/2023,1/15/2024,
117,12/17/2023,4/18/2023,9/26/2023
118,7/12/2023,7/24/2023,
119,3/5/2023,4/5/2023,
120,9/30/2023,10/7/2023,9/22/2023
121,4/27/2023,10/6/2023,
122,1/13/2023,7/25/2023,
123,9/17/2023,3/12/2023,
124,4/24/2023,4/27/2023,
125,1/14/2023,5/28/2023,6/27/2024
126,12/25/2023,12/3/2023,
127,11/4/2023,2/1/2023,9/18/2023
128,9/28/2023,3/10/2023,
129,1/26/2023,3/12/2023,1/4/2024
130,7/29/2023,7/1/2023,
